timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1670894606236,2347,Create Customer,201,,Grupo de Usuários 1-2,,true,,392,271,3,3,http://localhost:8080/customers,2347,0,5
1670894607437,1146,Create Customer,201,,Grupo de Usuários 1-3,,true,,392,271,3,3,http://localhost:8080/customers,1146,0,5
1670894605039,3545,Create Customer,201,,Grupo de Usuários 1-1,,true,,392,271,3,3,http://localhost:8080/customers,3545,0,6
1670894608583,474,Create Customer,201,,Grupo de Usuários 1-3,,true,,392,271,4,4,http://localhost:8080/customers,474,0,0
1670894608584,553,Create Customer,201,,Grupo de Usuários 1-1,,true,,392,271,4,4,http://localhost:8080/customers,553,0,0
1670894608583,589,Create Customer,201,,Grupo de Usuários 1-2,,true,,392,271,4,4,http://localhost:8080/customers,589,0,0
1670894608635,609,Create Customer,201,,Grupo de Usuários 1-4,,true,,392,271,4,4,http://localhost:8080/customers,609,0,3
1670894609058,636,Create Customer,201,,Grupo de Usuários 1-3,,true,,392,271,4,4,http://localhost:8080/customers,636,0,0
1670894609137,791,Create Customer,201,,Grupo de Usuários 1-1,,true,,392,271,5,5,http://localhost:8080/customers,791,0,0
1670894609172,758,Create Customer,201,,Grupo de Usuários 1-2,,true,,392,273,5,5,http://localhost:8080/customers,758,0,0
1670894609244,825,Create Customer,201,,Grupo de Usuários 1-4,,true,,392,273,5,5,http://localhost:8080/customers,825,0,0
1670894609694,642,Create Customer,201,,Grupo de Usuários 1-3,,true,,392,273,5,5,http://localhost:8080/customers,642,0,0
1670894609930,539,Create Customer,201,,Grupo de Usuários 1-2,,true,,392,273,5,5,http://localhost:8080/customers,539,0,0
1670894609929,561,Create Customer,201,,Grupo de Usuários 1-1,,true,,392,273,5,5,http://localhost:8080/customers,561,0,0
1670894610069,539,Create Customer,201,,Grupo de Usuários 1-4,,true,,392,273,5,5,http://localhost:8080/customers,539,0,0
1670894610469,376,Create Customer,201,,Grupo de Usuários 1-2,,true,,392,273,5,5,http://localhost:8080/customers,376,0,0
1670894609836,1010,Create Customer,201,,Grupo de Usuários 1-5,,true,,392,273,5,5,http://localhost:8080/customers,1010,0,3
